age,male_yearsleft,female_yearsleft
0,75.1,80.21
1,74.66,79.7
2,73.69,78.73
3,72.72,77.75
4,71.74,76.77
5,70.75,75.78
6,69.76,74.79
7,68.77,73.8
8,67.79,72.81
9,66.79,71.82
10,65.8,70.82
11,64.81,69.83
12,63.81,68.84
13,62.82,67.85
14,61.84,66.86
15,60.86,65.87
16,59.9,64.89
17,58.94,63.91
18,58,62.93
19,57.6,61.96
20,56.13,60.99
21,55.2,60.01
22,54.28,59.04
23,53.37,58.07
24,52.45,57.1
25,51.53,56.13
26,50.61,55.16
27,49.68,54.19
28,48.75,53.22
29,47.82,52.25
30,46.89,51.28
31,45.96,50.32
32,45.02,49.35
33,44.09,48.39
34,43.16,47.42
35,42.23,46.46
36,41.3,45.5
37,40.37,44.55
38,39.44,43.59
39,38.52,42.65
40,37.61,41.7
41,36.69,40.76
42,35.79,39.82
43,34.89,38.89
44,34,37.96
45,33.11,37.04
46,32.23,36.12
47,31.35,35.21
48,30.49,34.3
49,29.63,33.39
50,28.78,32.49
51,27.94,31.6
52,27.11,30.71
53,26.29,29.83
54,25.48,28.94
55,24.66,28.07
56,23.86,27.2
57,23.06,26.33
58,22.26,25.47
59,21.48,24.62
60,20.7,23.78
61,19.94,22.95
62,19.19,22.13
63,18.45,21.32
64,17.72,20.52
65,17,19.72
66,16.28,18.94
67,15.58,18.19
68,14.89,17.4
69,14.22,16.64
70,13.55,15.9
71,12.91,15.18
72,12.27,14.47
73,11.65,13.78
74,11.05,13.1
75,10.46,12.43
76,9.89,11.78
77,9.34,11.14
78,8.8,10.42
79,8.29,9.92
80,7.78,9.33
81,7.3,8.76
82,6.84,8.21
83,6.39,7.68
84,5.97,7.17
85,5.56,6.68
86,5.18,6.22
87,4.81,5.78
88,4.46,5.37
89,4.14,4.98
90,3.84,4.62
91,3.56,4.28
92,3.3,3.98
93,3.07,3.69
94,2.86,3.44
95,2.67,3.2
96,2.51,3
97,2.36,2.81
98,2.24,2.65
99,2.12,2.49
100,2.01,2.35
101,1.9,2.2
102,1.8,2.07
103,1.7,1.94
104,1.6,1.82
105,1.51,1.7
106,1.42,1.59
107,1.34,1.48
108,1.26,1.38
109,1.18,1.28
110,1.11,1.19
111,1.03,1.1
112,0.97,1.02
113,0.9,0.94
114,0.84,0.86
115,0.78,0.79
116,0.72,0.72
117,0.66,0.66
118,0.61,0.61
